DATE,Temp_max,Temp_min,Vent,PLV,EVA,APP
2005-12-17,10,17.0,41,3.1000000089406967,1.14,0.02
2005-12-18,9,14.0,31,3.9000000357627913,1.02,0.0009
2005-12-19,7,14.0,15,3.899999953806396,2.35,0.0021
2005-12-20,3,14.0,16,0.0,1.18,0.0011
2005-12-21,8,16.0,13,4.800000026822092,2.04,0.0018
2005-12-22,6,15.0,15,3.5000000149011625,1.86,0.0017
2005-12-23,7,16.0,21,0.0,1.74,0.0016
2005-12-24,8,15.0,15,21.7999992370605,1.98,0.0
2005-12-25,6,16.0,15,0.0,2.04,0.0018
2005-12-26,8,18.0,15,0.0,1.98,0.0018
2005-12-27,9,17.0,21,7.4999998807907,1.98,0.0018
2005-12-28,9,17.0,24,19.59999990463256,1.2,0.0
2005-12-29,7,12.0,29,7.300000011920929,2.04,0.0018
2005-12-30,5,14.0,27,9.799999892711641,1.68,0.0015
2005-12-31,10,17.0,27,0.0,2.1,0.0
2007-01-01,7,17.0,15,0.0,1.26,0.0
2007-01-02,12,16.0,21,2.200000005960465,1.08,0.0016
2007-01-03,10,23.0,24,9.000000029802322,1.88,0.002
2007-01-04,9,23.0,28,2.500000014901161,2.25,0.0024
2007-01-05,14,26.0,27,0.0,2.63,0.0033
2007-01-06,19,29.0,27,0.0,4.15,0.0006
2007-01-07,20,35.0,31,6.0,7.63,0.0
2007-01-08,22,32.0,22,23.70000004768372,9.99,0.0
2007-01-09,23,30.0,31,22.200000077486045,7.3,0.0
2007-01-10,21,29.0,27,10.79999995231628,3.61,0.0
2007-01-11,13,22.0,22,0.9,2.04,0.0018
2007-01-12,11,20.0,27,2.5,1.32,0.0011
2007-01-13,10,19.0,21,0.0,1.92,0.0027
2007-01-14,9,20.0,13,0.0,1.92,0.0038
2007-01-15,8,19.0,13,0.0,1.75,0.0022
2007-01-16,6,20.0,11,0.0,2.24,0.002
2007-01-17,8,19.0,9,0.0,1.98,0.0009
2007-01-18,11,18.0,24,0.0,1.77,0.0006
2007-01-19,10,19.0,37,0.0,1.92,0.0004
2007-01-20,12,20.0,29,0.0,2.04,0.0
2007-01-21,8,22.0,13,0.0,2.24,0.0
2007-01-22,6,23.0,27,0.0,2.6,0.0
2007-01-23,-1,21.0,29,0.0,2.3,0.0061
2007-01-24,9,16.0,31,0.7000000178813939,2.49,0.0026
2007-01-25,0,14.0,21,10.400000035762787,2.4,0.1468
2007-01-26,9,17.0,15,11.299999892711641,2.4,0.0
2007-01-27,8,16.0,22,0.0,2.04,0.0027
2007-01-28,8,16.0,11,3.9000000953674303,2.2,0.0
2007-01-29,9,19.0,15,11.09999990463256,2.35,0.0001
2007-01-30,12,16.0,13,52.09999995231628,1.92,0.0
2007-01-31,13,18.0,11,55.59999973773956,1.44,0.0022
2007-02-01,10,17.0,34,36.69999994337558,1.38,0.0014
2007-02-02,11,16.0,27,18.199999979138376,1.68,0.0092
2007-02-03,13,23.0,26,0.0,2.04,0.0021
2007-02-04,14,19.0,29,3.5,2.3,0.0027
2007-02-05,16,23.0,24,0.30000001192092896,2.76,0.0031
2007-02-06,16,20.0,24,3.2,4.35,0.0088
2007-02-07,24,34.0,21,0.0,7.7,0.0
2007-02-08,22,32.0,22,0.8999999761581421,9.91,0.001
2007-02-09,21,30.0,26,111.6000015884638,7.57,0.0
2007-02-10,22,30.0,26,214.69999957084661,3.55,0.0
2007-02-11,15,21.0,22,118.79999914169305,2.1,0.0018
2007-02-12,7,19.0,15,0.0,1.8,0.0
2007-02-13,11,19.0,31,0.0,1.92,0.0018
2007-02-14,10,22.0,27,0.0,2.1,0.0
2007-02-15,13,18.0,31,0.0,1.92,0.0
2007-02-16,11,19.0,21,0.0,1.74,0.0006
2007-02-17,8,19.0,26,0.0,1.86,0.002
2007-02-18,11,18.0,13,22.400000095367467,1.92,0.0037
2007-02-19,11,17.0,34,24.69999998807907,1.68,0.0006
2007-02-20,10,17.0,28,16.899999970197683,1.56,0.0099
2007-02-21,8,21.0,21,0.0,1.68,0.0
2007-02-22,11,15.0,15,0.0,1.74,0.0001
2007-02-23,12,15.0,21,0.700000002980232,1.98,0.0069
2007-02-24,11,19.0,26,62.500000482797624,1.98,0.0022
2007-02-25,12,20.0,21,55.29999976158142,1.74,0.0022
2007-02-26,11,18.0,48,80.99999952316291,2.04,0.002
2007-02-27,9,17.0,41,111.29999942779544,1.44,0.0343
2007-02-28,11,20.0,22,0.0,1.8,0.0016
2007-03-01,11,15.0,44,0.0,3.06,0.0
2007-03-02,9,18.0,15,0.0,1.56,0.0003
2007-03-03,12,25.0,26,0.0,2.4,0.0
2007-03-04,13,20.0,26,0.5,2.1,0.0027
2007-03-05,16,22.0,31,1.2,2.8,0.0
2007-03-06,14,20.0,21,9.3,2.7,0.0316
2007-03-07,22,33.0,24,16.0,6.85,0.0006
2007-03-08,23,35.0,22,388.50000190734863,10.03,0.0
2007-03-09,21,31.0,24,818.100004196167,7.45,0.0
2007-03-10,23,30.0,24,291.5999994277954,4.09,0.0
2007-03-11,13,21.0,27,216.30000042915339,1.98,0.0017
2007-03-12,-2,19.0,24,239.49999910593033,1.98,0.0017
2007-03-13,11,18.0,24,13.699999976158141,0.84,0.1569
2007-03-14,9,19.0,24,51.400000002980235,1.14,0.5007
2007-03-15,10,21.0,11,0.0,1.8,0.1592
2007-03-16,8,21.0,16,0.0,1.49,0.0021
2007-03-17,11,19.0,21,3.1,1.98,0.0393
2007-03-18,12,19.0,22,4.5,1.14,0.0263
2007-03-19,9,22.0,26,3.2000000476837176,0.98,0.0493
2007-03-20,5,13.0,55,39.50000023841858,0.84,0.0132
2007-03-21,6,15.0,39,35.59999966621399,1.84,0.001
2007-03-22,6,13.0,37,80.29999971389773,1.44,0.0022
2007-03-23,6,14.0,37,117.90000009536746,1.78,0.0017
2007-03-24,6,19.0,29,50.399999666213986,1.86,0.0021
2007-03-25,10,19.0,21,12.70000004768372,1.98,0.0022
2007-03-26,7,17.0,16,4.500000059604649,2.28,0.0024
2007-03-27,9,18.0,16,9.100000053644187,2.2,0.0027
2007-03-28,12,20.0,24,3.8000000715255777,2.4,0.0026
2007-03-29,11,19.0,34,17.800000071525577,2.4,0.0029
2007-03-30,10,17.0,41,42.20000016689301,2.1,0.0029
2007-03-31,10,23.0,21,18.100000023841858,2.0,0.0025
2007-04-01,8,17.0,21,4.7,1.92,0.0034
2007-04-02,9,16.0,22,24.199999809265137,1.44,0.0018
2007-04-03,13,25.0,15,63.99999988079071,2.1,0.0
2007-04-04,10,17.0,35,56.49999995231629,2.04,0.0025
2007-04-05,16,24.0,31,1.400000011920929,2.15,0.0003
2007-04-06,14,22.0,24,10.1,2.82,0.054000000000000006
2007-04-07,21,35.0,22,5.59999990463257,7.66,0.0
2007-04-08,24,33.0,29,0.0,10.4,0.0
2007-04-09,22,32.0,29,0.0,7.81,0.0
2007-04-10,21,30.0,24,0.0,3.97,0.0
2007-04-11,14,21.0,27,0.0,2.13,0.0018
2007-04-12,13,18.0,44,0.5,1.56,0.0
2007-04-13,15,21.0,46,4.800000004470348,3.19,0.0039
2007-04-14,13,21.0,27,0.0,4.51,0.0038
2007-04-15,15,22.0,27,40.200000047683716,3.24,0.0054
2007-04-16,13,19.0,16,158.99999823570252,3.6,0.0039
2007-04-17,11,23.0,15,113.10000057220465,2.49,0.0043
2007-04-18,11,24.0,24,0.0,3.12,0.003
2007-04-19,16,21.0,31,2.199999988079071,3.49,0.0037
2007-04-20,15,22.0,21,8.600000035762791,3.24,0.0041
2007-04-21,13,22.0,24,0.3,2.68,0.0039
2007-04-22,11,25.0,16,0.0,2.94,0.0032
2007-04-23,13,26.0,21,0.0,3.6,0.0035
2007-04-24,14,23.0,16,0.0,3.18,0.0043
2007-04-25,15,24.0,24,0.0,2.76,0.0038
2007-04-26,12,24.0,27,0.0,2.42,0.0033
2007-04-27,16,23.0,16,0.0,2.82,0.0029
2007-04-28,15,24.0,29,10.0,2.94,0.0034
2007-04-29,16,22.0,29,38.700000762939425,3.06,0.0035
2007-04-30,15,25.0,24,92.99999971389771,2.76,0.0036
2007-05-01,9,18.0,37,0.0,1.98,0.0022
2007-05-02,6,15.0,15,6.100000143051161,1.74,0.0016
2007-05-03,8,27.0,27,17.500000029802326,2.1,0.0024
2007-05-04,10,18.0,27,8.799999994039535,2.63,0.0024
2007-05-05,15,23.0,31,0.0,2.98,0.0026
2007-05-06,15,27.0,24,0.0,3.25,0.0181
2007-05-07,21,29.0,44,10.699999988079071,7.96,0.0
2007-05-08,23,32.0,29,21.79999995231629,8.29,0.0
2007-05-09,20,28.0,31,0.0,7.51,0.0
2007-05-10,22,33.0,26,0.0,4.21,0.0
2007-05-11,15,20.0,22,1.6,1.86,0.0716
2007-05-12,11,18.0,22,0.0,1.62,0.0
2007-05-13,14,33.0,27,0.0,3.3,0.0
2007-05-14,16,34.0,34,0.0,3.45,0.0027
2007-05-15,16,25.0,34,2.0,3.86,0.0
2007-05-16,16,23.0,22,5.3000001907348615,3.55,0.0
2007-05-17,15,23.0,42,15.899999916553499,3.2,0.0
2007-05-18,17,24.0,34,8.300000086426733,4.03,0.0
2007-05-19,14,26.0,21,4.0,3.79,0.0
2007-05-20,12,28.0,28,0.0,2.99,0.0
2007-05-21,18,27.0,29,0.0,3.06,0.0011
2007-05-22,17,31.0,21,0.0,3.79,0.0012
2007-05-23,16,30.0,27,0.0,4.09,0.002
2007-05-24,15,33.0,21,0.0,7.5,0.0
2007-05-25,19,34.0,34,0.0,7.5,0.0
2007-05-26,19,28.0,28,0.0,5.3,0.0029
2007-05-27,19,27.0,46,8.60000020265579,4.33,0.0
2007-05-28,18,29.0,42,22.10000010728836,3.24,0.0
2007-05-29,16,25.0,39,0.0,4.09,0.0
2007-05-30,16,27.0,28,11.0,4.21,0.0076
2007-05-31,14,31.0,24,0.0,4.33,0.0017
2007-06-01,10,18.0,15,0.5,1.62,0.0
2007-06-02,6,19.0,22,44.299999237060575,1.68,0.0004
2007-06-03,11,20.0,27,120.49999994039531,2.64,0.0024
2007-06-04,9,20.0,15,54.60000014305115,2.76,0.0031
2007-06-05,16,24.0,35,10.99999971687794,2.94,0.0035
2007-06-06,17,34.0,39,0.30000001192092896,3.91,0.0018
2007-06-07,21,30.0,29,0.200000002980232,7.51,0.0259
2007-06-08,23,32.0,16,0.0,8.23,0.0
2007-06-09,18,29.0,21,0.0,6.35,0.0
2007-06-10,21,29.0,21,0.0,4.7,0.0
2007-06-11,14,21.0,24,3.4,1.72,0.0015
2007-06-12,11,19.0,26,0.0,1.44,0.0
2007-06-13,20,33.0,29,0.0,6.76,0.0
2007-06-14,24,35.0,24,0.6,6.96,0.0
2007-06-15,22,33.0,28,0.0,6.79,0.0
2007-06-16,22,31.0,24,0.0,6.45,0.0
2007-06-17,19,35.0,24,0.0,7.39,0.0
2007-06-18,20,36.0,35,0.0,8.23,0.0
2007-06-19,23,35.0,28,0.0,8.53,0.0
2007-06-20,21,31.0,27,15.0,7.5,0.0
2007-06-21,21,34.0,26,0.0,7.36,0.0
2007-06-22,22,31.0,21,0.0,7.69,0.0
2007-06-23,22,32.0,24,0.0,6.29,0.0
2007-06-24,23,47.0,31,0.0,7.81,0.0
2007-06-25,24,45.0,22,0.0,9.19,0.0
2007-06-26,22,34.0,39,0.0,8.71,0.0
2007-06-27,22,29.0,31,0.0,7.87,0.0
2007-06-28,21,31.0,26,0.0,8.05,0.0
2007-06-29,21,30.0,24,0.0,7.81,0.0
2007-06-30,20,33.0,27,0.0,7.6,0.0001
2007-07-01,9,19.0,11,0.0,1.74,0.0018
2007-07-02,9,20.0,13,2.0,1.2,0.0019
2007-07-03,14,21.0,16,0.0,2.8,0.0014
2007-07-04,8,22.0,21,0.6,2.56,0.0033
2007-07-05,15,22.0,28,0.0,3.2,0.0035
2007-07-06,20,28.0,28,0.0,4.4,0.0061
2007-07-07,21,32.0,27,0.0,7.81,0.0026
2007-07-08,20,35.0,24,0.0,7.81,0.0
2007-07-09,19,29.0,28,0.0,6.67,0.0
2007-07-10,20,26.0,29,11.3,3.18,0.0025
2007-07-11,14,20.0,35,2.5,1.86,0.0016
2007-07-12,14,19.0,31,0.0,1.56,0.0013
2007-07-13,19,30.0,22,0.0,8.47,0.0
2007-07-14,22,32.0,28,0.0,7.92,0.0046
2007-07-15,20,34.0,31,0.0,8.71,0.0
2007-07-16,22,33.0,31,0.0,8.56,0.0004
2007-07-17,22,35.0,24,0.0,8.95,0.0
2007-07-18,21,37.0,22,0.0,9.06,0.0
2007-07-19,21,38.0,21,1.79999995231628,9.25,0.0149
2007-07-20,22,41.0,22,0.0,9.19,0.0
2007-07-21,23,39.0,27,0.0,9.43,0.0
2007-07-22,26,36.0,27,0.0,9.49,0.0
2007-07-23,23,43.0,21,0.0,10.09,0.0015
2007-07-24,27,45.0,34,0.0,10.4,0.0
2007-07-25,24,34.0,28,0.0,9.51,0.0
2007-07-26,23,34.0,26,0.0,8.83,0.0
2007-07-27,23,33.0,28,0.0,9.31,0.0
2007-07-28,23,36.0,28,0.0,9.6,0.0
2007-07-29,25,34.0,37,0.0,9.4,0.001
2007-07-30,24,34.0,41,0.0,9.73,0.0008
2007-07-31,24,33.0,41,0.0,9.7,0.0
2007-08-01,7,18.0,27,0.0,1.92,0.0
2007-08-02,10,19.0,22,0.0,2.1,0.0
2007-08-03,11,15.0,35,0.0,2.01,0.0111
2007-08-04,9,23.0,15,0.0,2.96,0.003
2007-08-05,16,23.0,37,0.9,3.3,0.0038
2007-08-06,19,29.0,31,0.0,4.89,0.0139
2007-08-07,21,34.0,22,0.0,7.69,0.0001
2007-08-08,25,34.0,31,0.0,8.35,0.0
2007-08-09,19,29.0,21,0.0,6.19,0.0
2007-08-10,20,26.0,22,1.8,2.94,0.0023
2007-08-11,13,18.0,22,2.0,1.92,0.0017
2007-08-12,14,17.0,34,9.0,1.5,0.0
2007-08-13,22,35.0,26,26.0,7.27,0.0
2007-08-14,23,33.0,22,0.0,7.61,0.0
2007-08-15,23,31.0,27,0.0,6.97,0.0
2007-08-16,20,34.0,21,0.0,6.37,0.0
2007-08-17,23,33.0,24,0.0,7.69,0.0
2007-08-18,22,33.0,22,0.0,7.63,0.0
2007-08-19,23,33.0,21,11.0,7.21,0.0
2007-08-20,23,30.0,28,20.99999990463256,7.9,0.0
2007-08-21,21,37.0,35,0.0,7.15,0.0
2007-08-22,23,44.0,41,0.100000001490116,8.11,0.0
2007-08-23,26,31.0,26,0.0,8.21,0.0
2007-08-24,26,31.0,26,0.0,8.4,0.0
2007-08-25,23,35.0,27,0.0,8.45,0.0
2007-08-26,25,37.0,27,0.0,8.6,0.0
2007-08-27,24,37.0,21,0.0,8.7,0.0
2007-08-28,26,40.0,16,0.0,7.23,0.0
2007-08-29,24,43.0,24,0.0,8.6,0.0
2007-08-30,27,44.0,31,0.0,9.19,0.0
2007-08-31,24,33.0,29,0.0,9.91,0.0
2007-09-01,11,18.0,22,0.0,1.56,0.0054
2007-09-02,12,22.0,42,0.0,1.98,0.0008
2007-09-03,14,16.0,42,75.0,0.85,0.6503
2007-09-04,11,22.0,27,0.0,2.94,0.0035
2007-09-05,17,26.0,41,0.0,3.0,0.0039
2007-09-06,18,27.0,26,0.0,5.15,0.0
2007-09-07,24,37.0,28,0.0,8.01,0.0056
2007-09-08,23,30.0,34,0.0,8.17,0.0
2007-09-09,18,31.0,24,0.0,6.25,0.0
2007-09-10,20,27.0,28,0.0,2.81,0.0
2007-09-11,11,21.0,28,1.4,1.8,0.0016
2007-09-12,12,21.0,28,1.5,1.32,0.0
2007-09-13,23,31.0,29,0.0,5.71,0.0
2007-09-14,25,33.0,31,2.2000000029802322,5.95,0.0
2007-09-15,24,33.0,27,0.0,6.07,0.0
2007-09-16,23,35.0,26,0.0,5.89,0.0
2007-09-17,26,37.0,26,0.0,6.19,0.0
2007-09-18,25,37.0,24,6.20000004768372,5.67,0.0
2007-09-19,22,30.0,26,15.9000001102686,5.83,0.0
2007-09-20,21,29.0,31,14.6,5.71,0.0
2007-09-21,19,27.0,21,6.0,5.35,0.0
2007-09-22,18,28.0,22,3.0,5.41,0.0
2007-09-23,21,29.0,16,9.699999976158143,3.5,0.0
2007-09-24,18,30.0,29,514.5999977588654,4.4,0.0
2007-09-25,20,25.0,35,444.1999992370606,2.42,0.3261
2007-09-26,20,30.0,24,0.0,3.12,0.0027
2007-09-27,19,28.0,27,0.0,3.24,0.0028
2007-09-28,19,25.0,27,0.0,4.9,0.0
2007-09-29,20,32.0,22,0.0,4.21,0.0
2007-09-30,21,30.0,24,0.0,4.18,0.0
2007-10-01,8,18.0,11,2.0,2.04,0.0002
2007-10-02,12,18.0,44,3.2,1.04,0.0102
2007-10-03,12,17.0,35,54.9,0.0,2.4101
2007-10-04,12,24.0,29,0.0,3.06,0.0035
2007-10-05,15,30.0,31,0.0,2.35,0.0036
2007-10-06,16,29.0,22,43.500000000000036,6.43,0.0
2007-10-07,22,30.0,42,50.80000019073486,8.65,0.0
2007-10-08,22,30.0,21,14.5,7.81,0.0
2007-10-09,19,29.0,21,0.0,5.77,0.0
2007-10-10,19,25.0,31,4.700000047683719,2.88,0.0
2007-10-11,11,18.0,35,2.400000050663952,2.04,0.0018
2007-10-12,11,19.0,28,0.0,1.56,0.0013
2007-10-13,17,25.0,48,669.5999965667725,2.88,0.0023
2007-10-14,18,24.0,24,433.299998664856,1.02,0.8769
2007-10-15,16,23.0,16,146.4999998092651,1.74,0.0855
2007-10-16,13,24.0,16,113.8999996185303,2.2,0.0019
2007-10-17,17,25.0,15,112.40000000000005,2.04,0.0018
2007-10-18,16,25.0,13,0.100000001490116,2.3,0.002
2007-10-19,18,24.0,22,18.79999995231628,2.42,0.0021
2007-10-20,15,21.0,26,35.90000005066395,2.63,0.0023
2007-10-21,11,16.0,37,74.49999976456166,2.42,0.0021
2007-10-22,12,18.0,22,181.29999923706052,2.56,0.0022
2007-10-23,13,20.0,27,130.0000007629395,1.86,0.0016
2007-10-24,13,21.0,13,0.0,2.04,0.0018
2007-10-25,16,24.0,16,0.0,2.25,0.002
2007-10-26,16,24.0,21,0.0,2.4,0.0021
2007-10-27,18,24.0,15,0.0,2.63,0.0023
2007-10-28,16,23.0,11,0.0,2.81,0.0
2007-10-29,18,24.0,26,8.999999999999996,2.94,0.0026
2007-10-30,18,24.0,26,33.00000061988834,2.56,0.0022
2007-10-31,15,22.0,24,59.70000038146976,2.3,0.002
2007-11-01,8,20.0,16,63.99999988079071,2.3,0.0023
2007-11-02,13,18.0,39,48.2000004529953,1.08,0.0332
2007-11-03,11,14.0,22,11.000000062584881,0.24,0.2417
2007-11-04,15,23.0,28,5.200000017881393,2.94,0.0036
2007-11-05,15,31.0,16,63.60000014305117,3.06,0.0028
2007-11-06,19,31.0,24,51.7000002861023,6.61,0.0
2007-11-07,20,28.0,35,1.89999997615814,9.19,0.0
2007-11-08,21,31.0,22,4.900000035762787,7.23,0.0
2007-11-09,19,31.0,28,4.399999916553499,5.2,0.0
2007-11-10,17,26.0,21,0.3,3.0,0.0
2007-11-11,13,20.0,29,0.0,1.98,0.0017
2007-11-12,9,15.0,31,1.9,1.5,0.0
2007-11-13,14,19.0,26,0.0,2.04,0.0018
2007-11-14,12,21.0,29,10.29999995231628,2.5,0.0
2007-11-15,10,17.0,24,127.4999991893769,1.86,0.0016
2007-11-16,9,15.0,28,128.09999959468846,1.8,0.0016
2007-11-17,8,14.0,39,23.999999880790707,1.68,0.0015
2007-11-18,8,16.0,22,21.39999990463257,1.56,0.0014
2007-11-19,5,19.0,27,0.0,1.74,0.0015
2007-11-20,7,21.0,22,0.0,1.74,0.0015
2007-11-21,9,21.0,24,0.0,1.86,0.0
2007-11-22,10,26.0,22,0.0,1.98,0.0
2007-11-23,12,23.0,22,0.0,1.92,0.0
2007-11-24,13,21.0,15,3.0,1.68,0.0
2007-11-25,13,23.0,29,3.600000029802323,1.74,0.0
2007-11-26,14,21.0,15,3.0,1.62,0.0
2007-11-27,12,20.0,21,0.0,1.8,0.0016
2007-11-28,12,20.0,16,0.0,1.86,0.0
2007-11-29,11,19.0,15,34.09999990463257,1.74,0.0015
2007-11-30,12,16.0,31,26.599999880790723,1.44,0.0012
2007-12-01,13,18.0,39,11.800000190734881,2.4,0.0026
2007-12-02,11,22.0,24,0.0,1.58,0.0012
2007-12-03,10,16.0,27,20.60000003576279,0.78,0.2877
2007-12-04,15,23.0,35,5.800000101327906,3.24,0.0035
2007-12-05,13,32.0,16,2.4000000357627913,3.06,0.0
2007-12-06,18,32.0,29,0.500000014901161,6.49,0.0
2007-12-07,21,29.0,31,11.0,8.59,0.0
2007-12-08,20,34.0,21,9.40000003576279,7.7,0.0
2007-12-09,21,29.0,27,12.599999800324444,5.89,0.0
2007-12-10,20,29.0,22,48.09999990463257,3.12,0.0025
2007-12-11,12,21.0,31,93.29999995231628,2.2,0.0019
2007-12-12,9,14.0,37,84.59999971389767,1.98,0.0017
2007-12-13,8,16.0,31,76.10000002384186,1.8,0.0015
2007-12-14,9,14.0,29,67.89999980926511,1.68,0.0014
2007-12-15,8,11.0,22,79.29999978542327,1.32,0.0011
2007-12-16,4,15.0,57,27.49999985694886,1.44,0.0012
2007-12-17,-6,13.0,29,2.0,2.15,0.0018
2007-12-18,4,14.0,26,6.5,1.5,0.0013
2007-12-19,7,16.0,16,4.0,1.68,0.0014
2007-12-20,7,15.0,13,0.0,1.56,0.0013
